,star_rating,readmit_success_count,readmit_fail_count,community_income,community_population
star_rating,1.0,0.33247528074396293,-0.34034218983486386,0.21808399180953936,-0.06389109927944772
readmit_success_count,0.33247528074396293,1.0,-0.21043611049739497,0.05649002683633385,-0.03367924277510647
readmit_fail_count,-0.34034218983486386,-0.21043611049739497,1.0,0.057565768278244986,0.20935156754521678
community_income,0.21808399180953936,0.05649002683633385,0.057565768278244986,1.0,0.1976528141000283
community_population,-0.06389109927944772,-0.03367924277510647,0.20935156754521678,0.1976528141000283,1.0
